Tempo Decorrido,Ocupacao
57400.000000,0.85
57500.000000,0.85
57600.000000,0.85
57700.000000,0.85
57800.000000,0.85
57900.000000,0.85
58000.000000,0.85
58100.000000,0.85
58200.000000,0.85
58300.000000,0.85
58400.000000,0.85
58500.000000,0.85
58600.000000,0.85
58700.000000,0.85
58800.000000,0.85
58900.000000,0.85
59000.000000,0.85
59100.000000,0.85
59200.000000,0.85
59300.000000,0.85
59400.000000,0.85
59500.000000,0.85
59600.000000,0.85
59700.000000,0.85
59800.000000,0.85
59900.000000,0.85
60000.000000,0.85
60100.000000,0.85
60200.000000,0.85
60300.000000,0.85
60400.000000,0.85
60500.000000,0.85
60600.000000,0.85
60700.000000,0.85
60800.000000,0.85
60900.000000,0.85
61000.000000,0.85
61100.000000,0.85
61200.000000,0.85
61300.000000,0.85
61400.000000,0.85
61500.000000,0.85
61600.000000,0.85
61700.000000,0.85
61800.000000,0.85
61900.000000,0.85
62000.000000,0.85
62100.000000,0.85
62200.000000,0.85
62300.000000,0.85
62400.000000,0.85
62500.000000,0.85
62600.000000,0.85
62700.000000,0.85
62800.000000,0.85
62900.000000,0.85
63000.000000,0.85
63100.000000,0.85
63200.000000,0.85
63300.000000,0.85
63400.000000,0.85
63500.000000,0.85
63600.000000,0.85
63700.000000,0.85
63800.000000,0.85
63900.000000,0.85
64000.000000,0.85
64100.000000,0.85
64200.000000,0.85
64300.000000,0.85
64400.000000,0.85
64500.000000,0.85
64600.000000,0.85
64700.000000,0.85
64800.000000,0.85
64900.000000,0.85
65000.000000,0.85
65100.000000,0.85
65200.000000,0.85
65300.000000,0.85
65400.000000,0.85
65500.000000,0.85
65600.000000,0.85
65700.000000,0.85
65800.000000,0.85
65900.000000,0.85
66000.000000,0.85
66100.000000,0.85
66200.000000,0.85
66300.000000,0.85
66400.000000,0.85
66500.000000,0.85
66600.000000,0.85
66700.000000,0.85
66800.000000,0.85
66900.000000,0.85
67000.000000,0.85
67100.000000,0.85
67200.000000,0.85
67300.000000,0.85
67400.000000,0.85
67500.000000,0.85
67600.000000,0.85
67700.000000,0.85
67800.000000,0.85
67900.000000,0.85
68000.000000,0.85
68100.000000,0.85
68200.000000,0.85
68300.000000,0.85
68400.000000,0.85
68500.000000,0.85
68600.000000,0.85
68700.000000,0.85
68800.000000,0.85
68900.000000,0.85
69000.000000,0.85
69100.000000,0.85
69200.000000,0.85
69300.000000,0.85
69400.000000,0.85
69500.000000,0.85
69600.000000,0.85
69700.000000,0.85
69800.000000,0.85
69900.000000,0.85
70000.000000,0.85
70100.000000,0.85
70200.000000,0.85
70300.000000,0.85
70400.000000,0.85
70500.000000,0.85
70600.000000,0.85
70700.000000,0.85
70800.000000,0.85
70900.000000,0.85
71000.000000,0.85
71100.000000,0.85
71200.000000,0.85
71300.000000,0.85
71400.000000,0.85
71500.000000,0.85
71600.000000,0.85
71700.000000,0.85
71800.000000,0.85
71900.000000,0.85
72000.000000,0.85
72100.000000,0.85
72200.000000,0.85
72300.000000,0.85
72400.000000,0.85
72500.000000,0.85
72600.000000,0.85
72700.000000,0.85
72800.000000,0.85
72900.000000,0.85
73000.000000,0.85
73100.000000,0.85
73200.000000,0.85
73300.000000,0.85
73400.000000,0.85
73500.000000,0.85
73600.000000,0.85
73700.000000,0.85
73800.000000,0.85
73900.000000,0.85
74000.000000,0.85
74100.000000,0.85
74200.000000,0.85
74300.000000,0.85
74400.000000,0.85
74500.000000,0.85
74600.000000,0.85
74700.000000,0.85
74800.000000,0.85
74900.000000,0.85
75000.000000,0.85
75100.000000,0.85
75200.000000,0.85
75300.000000,0.85
75400.000000,0.85
75500.000000,0.85
75600.000000,0.85
75700.000000,0.85
75800.000000,0.85
75900.000000,0.85
76000.000000,0.85
76100.000000,0.85
76200.000000,0.85
76300.000000,0.85
76400.000000,0.85
76500.000000,0.85
76600.000000,0.85
76700.000000,0.85
76800.000000,0.85
76900.000000,0.85
77000.000000,0.85
77100.000000,0.85
77200.000000,0.85
77300.000000,0.85
77400.000000,0.85
77500.000000,0.85
77600.000000,0.85
77700.000000,0.85
77800.000000,0.85
77900.000000,0.85
78000.000000,0.85
78100.000000,0.85
78200.000000,0.85
78300.000000,0.85
78400.000000,0.85
78500.000000,0.85
78600.000000,0.85
78700.000000,0.85
78800.000000,0.85
78900.000000,0.85
79000.000000,0.85
79100.000000,0.85
79200.000000,0.85
79300.000000,0.85
79400.000000,0.85
79500.000000,0.85
79600.000000,0.85
79700.000000,0.85
79800.000000,0.85
79900.000000,0.85
80000.000000,0.85
80100.000000,0.85
80200.000000,0.85
80300.000000,0.85
80400.000000,0.85
80500.000000,0.85
80600.000000,0.85
80700.000000,0.85
80800.000000,0.85
80900.000000,0.85
81000.000000,0.85
81100.000000,0.85
81200.000000,0.85
81300.000000,0.85
81400.000000,0.85
81500.000000,0.85
81600.000000,0.85
81700.000000,0.85
81800.000000,0.85
81900.000000,0.85
82000.000000,0.85
82100.000000,0.85
82200.000000,0.85
82300.000000,0.85
82400.000000,0.85
82500.000000,0.85
82600.000000,0.85
82700.000000,0.85
82800.000000,0.85
82900.000000,0.85
83000.000000,0.85
83100.000000,0.85
83200.000000,0.85
83300.000000,0.85
83400.000000,0.85
83500.000000,0.85
83600.000000,0.85
83700.000000,0.85
83800.000000,0.85
83900.000000,0.85
84000.000000,0.85
84100.000000,0.85
84200.000000,0.85
84300.000000,0.85
84400.000000,0.85
84500.000000,0.85
84600.000000,0.85
84700.000000,0.85
84800.000000,0.85
84900.000000,0.85
85000.000000,0.85
85100.000000,0.85
85200.000000,0.85
85300.000000,0.85
85400.000000,0.85
85500.000000,0.85
85600.000000,0.85
85700.000000,0.85
85800.000000,0.85
85900.000000,0.85
86000.000000,0.85
86100.000000,0.85
86200.000000,0.85
86300.000000,0.85
86400.000000,0.85
86500.000000,0.85
86600.000000,0.85
86700.000000,0.85
86800.000000,0.85
86900.000000,0.85
87000.000000,0.85
87100.000000,0.85
87200.000000,0.85
87300.000000,0.85
87400.000000,0.85
87500.000000,0.85
87600.000000,0.85
87700.000000,0.85
87800.000000,0.85
87900.000000,0.85
88000.000000,0.85
88100.000000,0.85
88200.000000,0.85
88300.000000,0.85
88400.000000,0.85
88500.000000,0.85
88600.000000,0.85
88700.000000,0.85
88800.000000,0.85
88900.000000,0.85
89000.000000,0.85
89100.000000,0.85
89200.000000,0.85
89300.000000,0.85
89400.000000,0.85
89500.000000,0.85
89600.000000,0.85
89700.000000,0.85
89800.000000,0.85
89900.000000,0.85
90000.000000,0.85
90100.000000,0.85
90200.000000,0.85
90300.000000,0.85
90400.000000,0.85
90500.000000,0.85
90600.000000,0.85
90700.000000,0.85
90800.000000,0.85
90900.000000,0.85
91000.000000,0.85
91100.000000,0.85
91200.000000,0.85
91300.000000,0.85
91400.000000,0.85
91500.000000,0.85
91600.000000,0.85
91700.000000,0.85
91800.000000,0.85
91900.000000,0.85
92000.000000,0.85
92100.000000,0.85
92200.000000,0.85
92300.000000,0.85
92400.000000,0.85
92500.000000,0.85
92600.000000,0.85
92700.000000,0.85
92800.000000,0.85
92900.000000,0.85
93000.000000,0.85
93100.000000,0.85
93200.000000,0.85
93300.000000,0.85
93400.000000,0.85
93500.000000,0.85
93600.000000,0.85
93700.000000,0.85
93800.000000,0.85
93900.000000,0.85
94000.000000,0.85
94100.000000,0.85
94200.000000,0.85
94300.000000,0.85
94400.000000,0.85
94500.000000,0.85
94600.000000,0.85
94700.000000,0.85
94800.000000,0.85
94900.000000,0.85
95000.000000,0.85
95100.000000,0.85
95200.000000,0.85
95300.000000,0.85
95400.000000,0.85
95500.000000,0.85
95600.000000,0.85
95700.000000,0.85
95800.000000,0.85
95900.000000,0.85
96000.000000,0.85
96100.000000,0.85
96200.000000,0.85
96300.000000,0.85
96400.000000,0.85
96500.000000,0.85
96600.000000,0.85
96700.000000,0.85
96800.000000,0.85
96900.000000,0.85
97000.000000,0.85
97100.000000,0.85
97200.000000,0.85
97300.000000,0.85
97400.000000,0.85
97500.000000,0.85
97600.000000,0.85
97700.000000,0.85
97800.000000,0.85
97900.000000,0.85
98000.000000,0.85
98100.000000,0.85
98200.000000,0.85
98300.000000,0.85
98400.000000,0.85
98500.000000,0.85
98600.000000,0.85
98700.000000,0.85
98800.000000,0.85
98900.000000,0.85
99000.000000,0.85
99100.000000,0.85
99200.000000,0.85
99300.000000,0.85
99400.000000,0.85
99500.000000,0.85
99600.000000,0.85
99700.000000,0.85
99800.000000,0.85
99900.000000,0.85
100000.000000,0.85
100000.007692,0.85
