Tempo Decorrido,E[N]
86200.000000,8.83
86300.000000,8.82
86400.000000,8.82
86500.000000,8.81
86600.000000,8.82
86700.000000,8.81
86800.000000,8.81
86900.000000,8.81
87000.000000,8.82
87100.000000,8.82
87200.000000,8.82
87300.000000,8.82
87400.000000,8.82
87500.000000,8.82
87600.000000,8.82
87700.000000,8.81
87800.000000,8.81
87900.000000,8.80
88000.000000,8.80
88100.000000,8.80
88200.000000,8.80
88300.000000,8.81
88400.000000,8.82
88500.000000,8.82
88600.000000,8.81
88700.000000,8.81
88800.000000,8.81
88900.000000,8.84
89000.000000,8.88
89100.000000,8.87
89200.000000,8.88
89300.000000,8.89
89400.000000,8.88
89500.000000,8.88
89600.000000,8.88
89700.000000,8.88
89800.000000,8.87
89900.000000,8.87
90000.000000,8.86
90100.000000,8.86
90200.000000,8.86
90300.000000,8.86
90400.000000,8.86
90500.000000,8.85
90600.000000,8.85
90700.000000,8.85
90800.000000,8.85
90900.000000,8.85
91000.000000,8.85
91100.000000,8.85
91200.000000,8.84
91300.000000,8.84
91400.000000,8.84
91500.000000,8.84
91600.000000,8.84
91700.000000,8.85
91800.000000,8.85
91900.000000,8.85
92000.000000,8.84
92100.000000,8.84
92200.000000,8.83
92300.000000,8.83
92400.000000,8.83
92500.000000,8.83
92600.000000,8.84
92700.000000,8.84
92800.000000,8.83
92900.000000,8.84
93000.000000,8.84
93100.000000,8.84
93200.000000,8.83
93300.000000,8.83
93400.000000,8.83
93500.000000,8.83
93600.000000,8.82
93700.000000,8.82
93800.000000,8.83
93900.000000,8.83
94000.000000,8.83
94100.000000,8.83
94200.000000,8.82
94300.000000,8.82
94400.000000,8.81
94500.000000,8.83
94600.000000,8.83
94700.000000,8.83
94800.000000,8.83
94900.000000,8.83
95000.000000,8.83
95100.000000,8.83
95200.000000,8.82
95300.000000,8.84
95400.000000,8.87
95500.000000,8.88
95600.000000,8.88
95700.000000,8.88
95800.000000,8.87
95900.000000,8.87
96000.000000,8.87
96100.000000,8.86
96200.000000,8.86
96300.000000,8.86
96400.000000,8.87
96500.000000,8.87
96600.000000,8.90
96700.000000,8.90
96800.000000,8.90
96900.000000,8.90
97000.000000,8.90
97100.000000,8.90
97200.000000,8.90
97300.000000,8.92
97400.000000,8.92
97500.000000,8.92
97600.000000,8.92
97700.000000,8.93
97800.000000,8.93
97900.000000,8.92
98000.000000,8.92
98100.000000,8.92
98200.000000,8.93
98300.000000,8.94
98400.000000,8.94
98500.000000,8.93
98600.000000,8.93
98700.000000,8.93
98800.000000,8.93
98900.000000,8.93
99000.000000,8.92
99100.000000,8.93
99200.000000,8.93
99300.000000,8.93
99400.000000,8.93
99500.000000,8.93
99600.000000,8.93
99700.000000,8.93
99800.000000,8.93
99900.000000,8.93
100000.000000,8.93
100000.778605,8.93
