Tempo Decorrido,E[W]
79000.000000,17.25
79100.000000,17.24
79200.000000,17.22
79300.000000,17.20
79400.000000,17.19
79500.000000,17.17
79600.000000,17.16
79700.000000,17.14
79800.000000,17.12
79900.000000,17.11
80000.000000,17.09
80100.000000,17.07
80200.000000,17.06
80300.000000,17.04
80400.000000,17.03
80500.000000,17.02
80600.000000,17.03
80700.000000,17.03
80800.000000,17.03
80900.000000,17.03
81000.000000,17.03
81100.000000,17.04
81200.000000,17.04
81300.000000,17.04
81400.000000,17.04
81500.000000,17.02
81600.000000,17.01
81700.000000,16.99
81800.000000,16.97
81900.000000,16.96
82000.000000,16.94
82100.000000,16.93
82200.000000,16.92
82300.000000,16.90
82400.000000,16.88
82500.000000,16.87
82600.000000,16.85
82700.000000,16.84
82800.000000,16.84
82900.000000,16.82
83000.000000,16.80
83100.000000,16.79
83200.000000,16.77
83300.000000,16.76
83400.000000,16.75
83500.000000,16.73
83600.000000,16.71
83700.000000,16.70
83800.000000,16.68
83900.000000,16.67
84000.000000,16.65
84100.000000,16.63
84200.000000,16.62
84300.000000,16.60
84400.000000,16.58
84500.000000,16.57
84600.000000,16.55
84700.000000,16.53
84800.000000,16.51
84900.000000,16.50
85000.000000,16.48
85100.000000,16.46
85200.000000,16.46
85300.000000,16.44
85400.000000,16.43
85500.000000,16.41
85600.000000,16.41
85700.000000,16.39
85800.000000,16.38
85900.000000,16.36
86000.000000,16.36
86100.000000,16.35
86200.000000,16.33
86300.000000,16.32
86400.000000,16.30
86500.000000,16.29
86600.000000,16.27
86700.000000,16.25
86800.000000,16.24
86900.000000,16.23
87000.000000,16.21
87100.000000,16.19
87200.000000,16.18
87300.000000,16.17
87400.000000,16.15
87500.000000,16.14
87600.000000,16.13
87700.000000,16.12
87800.000000,16.11
87900.000000,16.11
88000.000000,16.11
88100.000000,16.13
88200.000000,16.15
88300.000000,16.15
88400.000000,16.15
88500.000000,16.16
88600.000000,16.16
88700.000000,16.14
88800.000000,16.13
88900.000000,16.12
89000.000000,16.12
89100.000000,16.11
89200.000000,16.11
89300.000000,16.11
89400.000000,16.09
89500.000000,16.08
89600.000000,16.06
89700.000000,16.05
89800.000000,16.04
89900.000000,16.02
90000.000000,16.01
90100.000000,15.99
90200.000000,15.98
90300.000000,15.97
90400.000000,15.95
90500.000000,15.94
90600.000000,15.93
90700.000000,15.92
90800.000000,15.91
90900.000000,15.89
91000.000000,15.89
91100.000000,15.89
91200.000000,15.88
91300.000000,15.88
91400.000000,15.88
91500.000000,15.89
91600.000000,15.90
91700.000000,15.91
91800.000000,15.93
91900.000000,15.95
92000.000000,15.98
92100.000000,16.02
92200.000000,16.06
92300.000000,16.09
92400.000000,16.14
92500.000000,16.19
92600.000000,16.25
92700.000000,16.31
92800.000000,16.37
92900.000000,16.43
93000.000000,16.50
93100.000000,16.56
93200.000000,16.62
93300.000000,16.68
93400.000000,16.74
93500.000000,16.81
93600.000000,16.88
93700.000000,16.95
93800.000000,17.02
93900.000000,17.10
94000.000000,17.18
94100.000000,17.26
94200.000000,17.32
94300.000000,17.40
94400.000000,17.46
94500.000000,17.52
94600.000000,17.58
94700.000000,17.63
94800.000000,17.69
94900.000000,17.74
95000.000000,17.79
95100.000000,17.83
95200.000000,17.87
95300.000000,17.93
95400.000000,17.98
95500.000000,18.03
95600.000000,18.09
95700.000000,18.14
95800.000000,18.18
95900.000000,18.21
96000.000000,18.23
96100.000000,18.26
96200.000000,18.27
96300.000000,18.29
96400.000000,18.31
96500.000000,18.33
96600.000000,18.34
96700.000000,18.36
96800.000000,18.38
96900.000000,18.39
97000.000000,18.42
97100.000000,18.44
97200.000000,18.45
97300.000000,18.47
97400.000000,18.50
97500.000000,18.53
97600.000000,18.57
97700.000000,18.61
97800.000000,18.65
97900.000000,18.68
98000.000000,18.71
98100.000000,18.73
98200.000000,18.75
98300.000000,18.77
98400.000000,18.79
98500.000000,18.82
98600.000000,18.85
98700.000000,18.88
98800.000000,18.91
98900.000000,18.93
99000.000000,18.96
99100.000000,18.99
99200.000000,19.02
99300.000000,19.05
99400.000000,19.07
99500.000000,19.10
99600.000000,19.12
99700.000000,19.15
99800.000000,19.17
99900.000000,19.20
100000.000000,19.22
100000.000846,19.22
