Tempo Decorrido,Lambda
65900.000000,5.01
66000.000000,5.01
66100.000000,5.01
66200.000000,5.01
66300.000000,5.01
66400.000000,5.01
66500.000000,5.01
66600.000000,5.01
66700.000000,5.01
66800.000000,5.01
66900.000000,5.00
67000.000000,5.00
67100.000000,5.00
67200.000000,5.01
67300.000000,5.01
67400.000000,5.01
67500.000000,5.01
67600.000000,5.01
67700.000000,5.01
67800.000000,5.01
67900.000000,5.01
68000.000000,5.01
68100.000000,5.01
68200.000000,5.01
68300.000000,5.01
68400.000000,5.01
68500.000000,5.01
68600.000000,5.01
68700.000000,5.01
68800.000000,5.01
68900.000000,5.01
69000.000000,5.01
69100.000000,5.01
69200.000000,5.01
69300.000000,5.01
69400.000000,5.01
69500.000000,5.01
69600.000000,5.01
69700.000000,5.01
69800.000000,5.01
69900.000000,5.01
70000.000000,5.01
70100.000000,5.01
70200.000000,5.00
70300.000000,5.01
70400.000000,5.01
70500.000000,5.00
70600.000000,5.00
70700.000000,5.00
70800.000000,5.00
70900.000000,5.00
71000.000000,5.00
71100.000000,5.00
71200.000000,5.00
71300.000000,5.00
71400.000000,5.00
71500.000000,5.01
71600.000000,5.01
71700.000000,5.01
71800.000000,5.01
71900.000000,5.01
72000.000000,5.01
72100.000000,5.01
72200.000000,5.01
72300.000000,5.01
72400.000000,5.01
72500.000000,5.01
72600.000000,5.01
72700.000000,5.01
72800.000000,5.01
72900.000000,5.01
73000.000000,5.01
73100.000000,5.01
73200.000000,5.00
73300.000000,5.00
73400.000000,5.00
73500.000000,5.00
73600.000000,5.00
73700.000000,5.00
73800.000000,5.00
73900.000000,5.00
74000.000000,5.00
74100.000000,5.00
74200.000000,5.00
74300.000000,5.00
74400.000000,5.00
74500.000000,5.00
74600.000000,5.00
74700.000000,5.00
74800.000000,5.00
74900.000000,5.00
75000.000000,5.00
75100.000000,5.00
75200.000000,5.00
75300.000000,5.00
75400.000000,5.00
75500.000000,5.00
75600.000000,5.00
75700.000000,5.00
75800.000000,5.00
75900.000000,5.00
76000.000000,5.00
76100.000000,5.00
76200.000000,5.00
76300.000000,5.00
76400.000000,5.00
76500.000000,5.00
76600.000000,5.00
76700.000000,5.01
76800.000000,5.00
76900.000000,5.00
77000.000000,5.00
77100.000000,5.00
77200.000000,5.00
77300.000000,5.00
77400.000000,5.00
77500.000000,5.00
77600.000000,5.00
77700.000000,5.00
77800.000000,5.00
77900.000000,5.00
78000.000000,5.00
78100.000000,5.01
78200.000000,5.01
78300.000000,5.01
78400.000000,5.01
78500.000000,5.01
78600.000000,5.01
78700.000000,5.01
78800.000000,5.01
78900.000000,5.01
79000.000000,5.01
79100.000000,5.01
79200.000000,5.01
79300.000000,5.01
79400.000000,5.01
79500.000000,5.01
79600.000000,5.01
79700.000000,5.01
79800.000000,5.01
79900.000000,5.01
80000.000000,5.01
80100.000000,5.01
80200.000000,5.01
80300.000000,5.01
80400.000000,5.01
80500.000000,5.01
80600.000000,5.01
80700.000000,5.01
80800.000000,5.01
80900.000000,5.01
81000.000000,5.01
81100.000000,5.01
81200.000000,5.01
81300.000000,5.01
81400.000000,5.01
81500.000000,5.00
81600.000000,5.01
81700.000000,5.01
81800.000000,5.01
81900.000000,5.01
82000.000000,5.00
82100.000000,5.00
82200.000000,5.00
82300.000000,5.00
82400.000000,5.00
82500.000000,5.00
82600.000000,5.00
82700.000000,5.00
82800.000000,5.00
82900.000000,5.00
83000.000000,5.00
83100.000000,5.00
83200.000000,5.00
83300.000000,5.00
83400.000000,5.00
83500.000000,5.00
83600.000000,5.00
83700.000000,5.00
83800.000000,5.00
83900.000000,5.00
84000.000000,5.00
84100.000000,5.00
84200.000000,5.00
84300.000000,5.00
84400.000000,5.00
84500.000000,5.00
84600.000000,5.00
84700.000000,5.00
84800.000000,5.00
84900.000000,5.00
85000.000000,5.00
85100.000000,5.00
85200.000000,5.00
85300.000000,5.00
85400.000000,5.00
85500.000000,5.00
85600.000000,5.00
85700.000000,5.00
85800.000000,5.00
85900.000000,5.00
86000.000000,5.00
86100.000000,5.00
86200.000000,5.00
86300.000000,5.00
86400.000000,5.00
86500.000000,5.00
86600.000000,5.00
86700.000000,5.00
86800.000000,5.00
86900.000000,5.00
87000.000000,5.00
87100.000000,5.00
87200.000000,5.00
87300.000000,5.00
87400.000000,5.00
87500.000000,5.00
87600.000000,5.00
87700.000000,5.00
87800.000000,5.00
87900.000000,5.00
88000.000000,5.00
88100.000000,5.00
88200.000000,5.00
88300.000000,5.00
88400.000000,5.00
88500.000000,5.00
88600.000000,5.00
88700.000000,5.00
88800.000000,5.00
88900.000000,5.00
89000.000000,5.00
89100.000000,5.00
89200.000000,5.00
89300.000000,5.00
89400.000000,5.00
89500.000000,5.00
89600.000000,5.00
89700.000000,5.00
89800.000000,5.00
89900.000000,5.00
90000.000000,5.00
90100.000000,5.00
90200.000000,5.00
90300.000000,5.00
90400.000000,5.00
90500.000000,5.00
90600.000000,5.00
90700.000000,5.00
90800.000000,5.00
90900.000000,5.00
91000.000000,5.00
91100.000000,5.00
91200.000000,5.00
91300.000000,5.00
91400.000000,5.00
91500.000000,5.00
91600.000000,5.00
